Sample_ID,Pond_ID,Pond_number,Previous_status,Grid_reference,Latitude,Longitude,Kit_type,Kit_ID,Month,Season,Volume,Sampled,Arrived,Inhibition,Degradation,GCN_2022,eDNA_score,Average_Cq,Notes
HS2-00003NL5K-250522-PF,HS2-00002NL5K,11,Positive,SP 78919 14227,51.821104,-0.85640256,F,PSD-01-18968_R4,May,In-season,1800,25-May,31-May,Pass,Pass,Positive,12,39.37,
HS2-00002NL5K-250522-SK,HS2-00002NL5K,11,Positive,SP 78919 14227,51.821104,-0.85640256,EP,GCN-22-01109,May,In-season,90,25-May,31-May,Pass,Pass,Positive,12,37.17,
HS2-00002NL5K,HS2-00002NL5K,11,Positive,SP 78919 14227,51.821104,-0.85640256,F,PSD-01-00280,June,In-season,1250,30-Jun,04-Jul,Pass,Pass,Positive,1,46.99,
HS2-00002NL5K,HS2-00002NL5K,11,Positive,SP 78919 14227,51.821104,-0.85640256,EP,GCN-22-01820,June,In-season,90,29-Jun,04-Jul,Pass,Pass,Positive,12,34.07,
HS2-00002NL5K-120722-FK,HS2-00002NL5K,11,Positive,SP 78919 14227,51.821104,-0.85640256,F,PSD-01-00346,July,Out-of-season,1625,12-Jul,14-Jul,Pass,Pass,Positive,11,39.81,
HS2-00002NL5K-120722-SK,HS2-00002NL5K,11,Positive,SP 78919 14227,51.821104,-0.85640256,EP,GCN-22-01882,July,Out-of-season,90,12-Jul,14-Jul,Pass,Pass,Positive,12,39.40,
HS2-00002NL5K-160822-FK,HS2-00002NL5K,11,Positive,SP 78919 14227,51.821104,-0.85640256,F,PSD-01-00721,August,Out-of-season,550,16-Aug,19-Aug,Pass,Pass,Positive,5,39.29,
HS2-00002NL5K-160822-SK,HS2-00002NL5K,11,Positive,SP 78919 14227,51.821104,-0.85640256,EP,GCN-22-01946,August,Out-of-season,90,16-Aug,19-Aug,Pass,Pass,Positive,12,38.76,
HS2-00002NL5K-130922-FK,HS2-00002NL5K,11,Positive,SP 78919 14227,51.821104,-0.85640256,F,PSD-01-00263,September,Out-of-season,1125,13-Sep,16-Sep,Pass,Pass,Negative,0,NA,
HS2-00002NL5K-130922-SK,HS2-00002NL5K,11,Positive,SP 78919 14227,51.821104,-0.85640256,EP,GCN-22-01970,September,Out-of-season,90,13-Sep,16-Sep,Pass,Pass,Positive,5,39.98,
HS2-00002NL5K-061022-FK,HS2-00002NL5K,11,Positive,SP 78919 14227,51.821104,-0.85640256,F,PSD-01-00854,October,Out-of-season,2500,06-Oct,12-Oct,Pass,Pass,Negative,0,NA,
HS2-00002NL5K-061022-SK,HS2-00002NL5K,11,Positive,SP 78919 14227,51.821104,-0.85640256,EP,GCN-22-01980,October,Out-of-season,90,06-Oct,12-Oct,Pass,Pass,Negative,0,NA,
HS2-00002NL5L-280422-PF,HS2-00002NL5L,12,Positive,SP 78902 14164,51.82054,-0.85666349,F,PSD-01-00086,April,In-season,2500,28-Apr,29-Apr,Pass,Pass,Positive,12,33.26,
HS2-00002NL5L-280422-SK,HS2-00002NL5L,12,Positive,SP 78902 14164,51.82054,-0.85666349,EP,GCN-22-00590,April,In-season,90,28-Apr,29-Apr,Pass,Pass,Positive,6,40.95,
HS2-00002NL5L-250522-PF,HS2-00002NL5L,12,Positive,SP 78902 14164,51.82054,-0.85666349,F,PSD-01-18970,May,In-season,2420,25-May,31-May,Pass,Pass,Positive,2,41.54,
HS2-00002NL5L-250522-SK,HS2-00002NL5L,12,Positive,SP 78902 14164,51.82054,-0.85666349,EP,GCN-22-01111,May,In-season,90,25-May,31-May,Pass,Pass,Positive,10,39.23,
HS2-00002NL5L,HS2-00002NL5L,12,Positive,SP 78902 14164,51.82054,-0.85666349,F,PSD-01-00264,June,In-season,2500,30-Jun,04-Jul,Pass,Pass,Positive,12,37.57,
HS2-00002NL5L,HS2-00002NL5L,12,Positive,SP 78902 14164,51.82054,-0.85666349,EP,GCN-22-01677,June,In-season,90,29-Jun,04-Jul,Pass,Pass,Positive,12,37.95,
