"Site","2.5Credible Interval","Posterior Mean","97.5Credible Interval"
117,0.00442587740551989,0.0739473485113083,0.241698953566578
118,0.00109945716726772,0.021770674261021,0.0776601085128037
119,0.28387650745791,0.641970932922219,0.834161094126953
120,0.0790043852725759,0.310007789891603,0.51034443994822
121,0.276616527457423,0.767270148442617,0.929851898806136
122,0.0735846684901166,0.46506184840855,0.703857890067341
123,0.210089537263687,0.705497663752896,0.903056490966379
124,0.075605011663179,0.384706153756485,0.633532582267942
125,0.181282221640592,0.781378248986664,0.949173697423042
126,0.0633137758318895,0.491905084642912,0.754676664351818
127,0.134840168989584,0.596071288165086,0.841796462611658
128,0.0337809492959111,0.279564658974725,0.527335418907633
129,0.0128460821514075,0.13644471378911,0.345162692045218
130,0.00275775024532882,0.0418140913435856,0.128704218368472
131,0.00442587740551989,0.0739473485113083,0.241698953566578
132,0.00109945716726772,0.021770674261021,0.0776601085128037
133,0.28387650745791,0.641970932922219,0.834161094126953
134,0.0790043852725759,0.310007789891603,0.51034443994822
135,0.276616527457423,0.767270148442617,0.929851898806136
136,0.0735846684901166,0.46506184840855,0.703857890067341
137,0.210089537263687,0.705497663752896,0.903056490966379
138,0.075605011663179,0.384706153756485,0.633532582267942
139,0.181282221640592,0.781378248986664,0.949173697423042
140,0.0633137758318895,0.491905084642912,0.754676664351818
141,0.134840168989584,0.596071288165086,0.841796462611658
142,0.0337809492959111,0.279564658974725,0.527335418907633
143,0.0128460821514075,0.13644471378911,0.345162692045218
144,0.00275775024532882,0.0418140913435856,0.128704218368472
145,0.00442587740551989,0.0739473485113083,0.241698953566578
146,0.00109945716726772,0.021770674261021,0.0776601085128037
147,0.28387650745791,0.641970932922219,0.834161094126953
148,0.0790043852725759,0.310007789891603,0.51034443994822
149,0.276616527457423,0.767270148442617,0.929851898806136
150,0.0735846684901166,0.46506184840855,0.703857890067341
151,0.210089537263687,0.705497663752896,0.903056490966379
152,0.075605011663179,0.384706153756485,0.633532582267942
153,0.181282221640592,0.781378248986664,0.949173697423042
154,0.0633137758318895,0.491905084642912,0.754676664351818
155,0.134840168989584,0.596071288165086,0.841796462611658
156,0.0337809492959111,0.279564658974725,0.527335418907633
157,0.0128460821514075,0.13644471378911,0.345162692045218
158,0.00275775024532882,0.0418140913435856,0.128704218368472
159,0.00442587740551989,0.0739473485113083,0.241698953566578
160,0.00109945716726772,0.021770674261021,0.0776601085128037
161,0.28387650745791,0.641970932922219,0.834161094126953
162,0.0790043852725759,0.310007789891603,0.51034443994822
163,0.276616527457423,0.767270148442617,0.929851898806136
164,0.0735846684901166,0.46506184840855,0.703857890067341
165,0.28387650745791,0.641970932922219,0.834161094126953
166,0.0790043852725759,0.310007789891603,0.51034443994822
167,0.28387650745791,0.641970932922219,0.834161094126953
168,0.0790043852725759,0.310007789891603,0.51034443994822
169,0.276616527457423,0.767270148442617,0.929851898806136
170,0.0735846684901166,0.46506184840855,0.703857890067341
171,0.210089537263687,0.705497663752896,0.903056490966379
172,0.075605011663179,0.384706153756485,0.633532582267942
173,0.181282221640592,0.781378248986664,0.949173697423042
174,0.0633137758318895,0.491905084642912,0.754676664351818
175,0.134840168989584,0.596071288165086,0.841796462611658
176,0.0337809492959111,0.279564658974725,0.527335418907633
177,0.0128460821514075,0.13644471378911,0.345162692045218
178,0.00275775024532882,0.0418140913435856,0.128704218368472
179,0.00442587740551989,0.0739473485113083,0.241698953566578
180,0.00109945716726772,0.021770674261021,0.0776601085128037
181,0.28387650745791,0.641970932922219,0.834161094126953
182,0.0790043852725759,0.310007789891603,0.51034443994822
183,0.276616527457423,0.767270148442617,0.929851898806136
184,0.0735846684901166,0.46506184840855,0.703857890067341
185,0.210089537263687,0.705497663752896,0.903056490966379
186,0.075605011663179,0.384706153756485,0.633532582267942
187,0.28387650745791,0.641970932922219,0.834161094126953
188,0.0790043852725759,0.310007789891603,0.51034443994822
